Total Time,Pipeline1 Number of Comparisons,Pipeline2 Number of Comparisons,Output Comparisons,Pipeline_Value,BenchMark
0.51955,32580,126,76,3,Metric-x
0.5202333333,32580,126,76,3,Metric-x
0.51585,32580,126,76,3,Metric-x
0.49575,32580,126,76,3,Metric-x
0.5216833333,32580,126,76,3,Metric-x
0.5057,32580,126,76,3,Metric-x
0.4991833333,32580,126,76,3,Metric-x
0.5289,32580,126,76,3,Metric-x
0.5173666667,32580,126,76,3,Metric-x
0.52385,32580,126,76,3,Metric-x
0.4957666667,32580,126,76,3,Metric-x
0.5045166667,32580,126,76,3,Metric-x
0.5017666667,32580,126,76,3,Metric-x
0.5073166667,32580,126,76,3,Metric-x
0.5342,32580,126,76,3,Metric-x
0.5138333333,32580,126,76,3,Metric-x
0.53605,32580,126,76,3,Metric-x
0.53895,32580,126,76,3,Metric-x
0.5311833333,32580,126,76,3,Metric-x
0.5349166667,32580,126,76,3,Metric-x
0.57515,32580,126,76,3,Metric-x
0.5337333333,32580,126,76,3,Metric-x
0.5325666667,32580,126,76,3,Metric-x
0.5418666667,32580,126,76,3,Metric-x
0.5359,32580,126,76,3,Metric-x
0.5759666667,32580,126,76,3,Metric-x
0.3593666667,43056,580,56,2,Jasm
0.3589166667,43056,580,56,2,Jasm
0.3579833333,43056,580,56,2,Jasm
0.3612666667,43056,580,56,2,Jasm
0.3633666667,43056,580,56,2,Jasm
0.3641333333,43056,580,56,2,Jasm
0.3658333333,43056,580,56,2,Jasm
0.36175,43056,580,56,2,Jasm
0.3656166667,43056,580,56,2,Jasm
0.3635833333,43056,580,56,2,Jasm
0.3648333333,43056,580,56,2,Jasm
0.3673833333,43056,580,56,2,Jasm
0.3684833333,43056,580,56,2,Jasm
0.3662666667,43056,580,56,2,Jasm
0.3647666667,43056,580,56,2,Jasm
0.3646,43056,580,56,2,Jasm
0.36925,43056,580,56,2,Jasm
0.3683333333,43056,580,56,2,Jasm
0.3709833333,43056,580,56,2,Jasm
0.3667166667,43056,580,56,2,Jasm
0.3736833333,43056,580,56,2,Jasm
0.3751333333,43056,580,56,2,Jasm
0.36515,43056,580,56,2,Jasm
0.3783666667,43056,580,56,2,Jasm
0.3777333333,43056,580,56,2,Jasm
0.3656833333,43056,580,56,2,Jasm
0.3863666667,43056,580,56,2,Jasm
0.3633833333,43056,580,56,2,Jasm
0.4006833333,43056,580,56,2,Jasm
0.3651333333,43056,580,56,2,Jasm
0.4242333333,43056,580,56,3,Jasm
0.4309333333,43056,580,56,3,Jasm
0.4316333333,43056,580,56,3,Jasm
0.4286333333,43056,580,56,3,Jasm
0.4295166667,43056,580,56,3,Jasm
0.4316333333,43056,580,56,3,Jasm
0.4338833333,43056,580,56,3,Jasm
0.4333833333,43056,580,56,3,Jasm
0.4324166667,43056,580,56,3,Jasm
0.4384833333,43056,580,56,3,Jasm
0.4395,43056,580,56,3,Jasm
0.4278,43056,580,56,3,Jasm
0.44915,43056,580,56,3,Jasm
0.4499,43056,580,56,3,Jasm
0.4468666667,43056,580,56,3,Jasm
0.4476,43056,580,56,3,Jasm
0.4539833333,43056,580,56,3,Jasm
0.4477666667,43056,580,56,3,Jasm
0.4558,43056,580,56,3,Jasm
0.4585666667,43056,580,56,3,Jasm
0.4321666667,43056,580,56,3,Jasm
0.4659,43056,580,56,3,Jasm
0.4789666667,43056,580,56,3,Jasm
0.4762666667,43056,580,56,3,Jasm
0.4826833333,43056,580,56,3,Jasm
0.4746666667,43056,580,56,3,Jasm
0.4748666667,43056,580,56,3,Jasm
0.4929666667,43056,580,56,3,Jasm
0.4817833333,43056,580,56,3,Jasm
0.4970166667,43056,580,56,3,Jasm
2.6901833333,10302,0,0,2,Imcache
2.7726833333,10302,0,0,2,Imcache
2.7794833333,10302,0,0,2,Imcache
2.8589,10302,0,0,2,Imcache
2.8631166667,10302,0,0,2,Imcache
2.86835,10302,0,0,2,Imcache
2.86065,10302,0,0,2,Imcache
2.9608333333,10302,0,0,2,Imcache
2.9743166667,10302,0,0,2,Imcache
2.9691166667,10302,0,0,2,Imcache
2.8841666667,10302,0,0,2,Imcache
2.7172833333,10302,0,0,2,Imcache
2.7368333333,10302,0,0,2,Imcache
2.8731,10302,0,0,2,Imcache
2.8856833333,10302,0,0,2,Imcache
2.8955666667,10302,0,0,2,Imcache
2.9062666667,10302,0,0,2,Imcache
2.97365,10302,0,0,2,Imcache
2.9544166667,10302,0,0,2,Imcache
2.9616833333,10302,0,0,2,Imcache
2.9409833333,10302,0,0,2,Imcache
2.9764666667,10302,0,0,2,Imcache
2.9838166667,10302,0,0,2,Imcache
2.97185,10302,0,0,2,Imcache
2.9623833333,10302,0,0,2,Imcache
3.1062833333,10302,0,0,2,Imcache
2.95805,10302,0,0,2,Imcache
2.8933333333,10302,0,0,2,Imcache
2.9582666667,10302,0,0,2,Imcache
2.9683166667,10302,0,0,2,Imcache
2.7512166667,10302,0,0,3,Imcache
2.7226666667,10302,0,0,3,Imcache
2.7967166667,10302,0,0,3,Imcache
2.7798333333,10302,0,0,3,Imcache
2.74095,10302,0,0,3,Imcache
2.8542833333,10302,0,0,3,Imcache
2.73095,10302,0,0,3,Imcache
2.7708666667,10302,0,0,3,Imcache
2.8695,10302,0,0,3,Imcache
2.8792166667,10302,0,0,3,Imcache
2.9464,10302,0,0,3,Imcache
2.9703666667,10302,0,0,3,Imcache
2.90695,10302,0,0,3,Imcache
2.9743333333,10302,0,0,3,Imcache
2.9113,10302,0,0,3,Imcache
2.9191,10302,0,0,3,Imcache
2.8836666667,10302,0,0,3,Imcache
2.9685166667,10302,0,0,3,Imcache
2.8887833333,10302,0,0,3,Imcache
2.9137166667,10302,0,0,3,Imcache
2.9577333333,10302,0,0,3,Imcache
2.9647,10302,0,0,3,Imcache
2.9121333333,10302,0,0,3,Imcache
2.9554,10302,0,0,3,Imcache
2.9722333333,10302,0,0,3,Imcache
2.9631333333,10302,0,0,3,Imcache
2.9673833333,10302,0,0,3,Imcache
2.926,10302,0,0,3,Imcache
2.9711166667,10302,0,0,3,Imcache
2.9874166667,10302,0,0,3,Imcache
1.6555166667,1190,244,64,2,Ant
1.6166833333,1190,244,64,2,Ant
1.6898333333,1190,244,64,2,Ant
1.62875,1190,244,64,2,Ant
1.70005,1190,244,64,2,Ant
1.6482166667,1190,244,64,2,Ant
1.7236,1190,244,64,2,Ant
1.69265,1190,244,64,2,Ant
1.6768833333,1190,244,64,2,Ant
1.68325,1190,244,64,2,Ant
1.61195,1190,244,64,2,Ant
1.63995,1190,244,64,2,Ant
1.6855833333,1190,244,64,2,Ant
1.6652833333,1190,244,64,2,Ant
1.7052,1190,244,64,2,Ant
1.6598833333,1190,244,64,2,Ant
1.6452,1190,244,64,2,Ant
1.7272833333,1190,244,64,2,Ant
1.6484833333,1190,244,64,2,Ant
1.7213166667,1190,244,64,2,Ant
1.7326666667,1190,244,64,2,Ant
1.731,1190,244,64,2,Ant
1.6884666667,1190,244,64,2,Ant
1.6497833333,1190,244,64,2,Ant
1.7280833333,1190,244,64,2,Ant
1.7257,1190,244,64,2,Ant
1.7307333333,1190,244,64,2,Ant
1.7109,1190,244,64,2,Ant
1.6462833333,1190,244,64,2,Ant
1.7100166667,1190,244,64,2,Ant
2.64555,1190,244,64,3,Ant
2.5902333333,1190,244,64,3,Ant
2.5818333333,1190,244,64,3,Ant
2.5664833333,1190,244,64,3,Ant
2.5311666667,1190,244,64,3,Ant
2.5625166667,1190,244,64,3,Ant
2.5772333333,1190,244,64,3,Ant
2.6536,1190,244,64,3,Ant
2.6080666667,1190,244,64,3,Ant
2.59805,1190,244,64,3,Ant
2.6453666667,1190,244,64,3,Ant
2.5107666667,1190,244,64,3,Ant
2.5977833333,1190,244,64,3,Ant
2.6316333333,1190,244,64,3,Ant
2.5935,1190,244,64,3,Ant
2.6358833333,1190,244,64,3,Ant
2.6600666667,1190,244,64,3,Ant
2.6463166667,1190,244,64,3,Ant
2.6547833333,1190,244,64,3,Ant
2.6015666667,1190,244,64,3,Ant
2.64745,1190,244,64,3,Ant
2.6045166667,1190,244,64,3,Ant
2.6606166667,1190,244,64,3,Ant
2.6563166667,1190,244,64,3,Ant
2.6587,1190,244,64,3,Ant
2.6475,1190,244,64,3,Ant
2.66605,1190,244,64,3,Ant
2.5686166667,1190,244,64,3,Ant
2.5677666667,1190,244,64,3,Ant
2.63825,1190,244,64,3,Ant
